Country,Holiday,Start Date,End Date
Brazilian Holidays,Carnival Monday,2017-02-27,2017-02-28
Brazilian Holidays,Carnival Tuesday,2017-02-28,2017-03-01
Brazilian Holidays,Carnival end (until 2pm),2017-03-01,2017-03-02
Brazilian Holidays,Easter Sunday,2017-04-16,2017-04-17
Brazilian Holidays,Corpus Christi,2017-06-15,2017-06-16
Brazilian Holidays,Christmas Eve (from 2pm),2017-12-24,2017-12-25
Brazilian Holidays,New Year's Eve (from 2pm),2017-12-31,2018-01-01
Brazilian Holidays,Carnival Tuesday,2018-02-13,2018-02-14
Brazilian Holidays,Carnival end (until 2pm),2018-02-14,2018-02-15
Brazilian Holidays,Christmas Eve (from 2pm),2018-12-24,2018-12-25
Brazilian Holidays,New Year's Eve (from 2pm),2018-12-31,2019-01-01
Brazilian Holidays,Carnival Monday,2019-03-04,2019-03-05
Brazilian Holidays,Carnival Tuesday,2019-03-05,2019-03-06
Brazilian Holidays,Carnival end (until 2pm),2019-03-06,2019-03-07
Brazilian Holidays,Corpus Christi,2019-06-20,2019-06-21
Brazilian Holidays,Christmas Eve (from 2pm),2019-12-24,2019-12-25
Brazilian Holidays,New Year's Eve (from 2pm),2019-12-31,2020-01-01
Brazilian Holidays,Carnival Monday,2018-02-12,2018-02-13
Brazilian Holidays,Easter Sunday,2018-04-01,2018-04-02
Brazilian Holidays,Corpus Christi,2018-05-31,2018-06-01
Brazilian Holidays,Easter Sunday,2019-04-21,2019-04-22
Brazilian Holidays,Black Consciousness Day,2017-11-20,2017-11-21
Brazilian Holidays,Black Consciousness Day,2018-11-20,2018-11-21
Brazilian Holidays,Black Consciousness Day,2019-11-20,2019-11-21
Brazilian Holidays,Mother's Day,2017-05-14,2017-05-15
Brazilian Holidays,Father's Day,2017-08-13,2017-08-14
Brazilian Holidays,Mother's Day,2018-05-13,2018-05-14
Brazilian Holidays,Father's Day,2018-08-12,2018-08-13
Brazilian Holidays,Mother's Day,2019-05-12,2019-05-13
Brazilian Holidays,Father's Day,2019-08-11,2019-08-12
Brazilian Holidays,Teacher's Day,2017-10-15,2017-10-16
Brazilian Holidays,Teacher's Day,2018-10-15,2018-10-16
Brazilian Holidays,Teacher's Day,2019-10-15,2019-10-16
Brazilian Holidays,Brazilian Valentine's Day,2017-06-12,2017-06-13
Brazilian Holidays,Brazilian Valentine's Day,2018-06-12,2018-06-13
Brazilian Holidays,Brazilian Valentine's Day,2019-06-12,2019-06-13
Brazilian Holidays,All Souls' Day,2017-11-02,2017-11-03
Brazilian Holidays,All Souls' Day,2018-11-02,2018-11-03
Brazilian Holidays,All Souls' Day,2019-11-02,2019-11-03
Canadian Holidays,Vimy Ridge Day,2018-04-09,2018-04-10
Canadian Holidays,Canada Day,2018-07-01,2018-07-02
Canadian Holidays,Canada Day - additional statutory holiday,2018-07-02,2018-07-03
Canadian Holidays,New Year's Eve,2018-12-31,2019-01-01
Canadian Holidays,St. Patrick's Day,2017-03-17,2017-03-18
Canadian Holidays,Anniversary of the Statute of Westminster,2017-12-11,2017-12-12
Canadian Holidays,Epiphany,2018-01-06,2018-01-07
Canadian Holidays,Valentine's Day,2019-02-14,2019-02-15
Canadian Holidays,Vimy Ridge Day,2019-04-09,2019-04-10
Canadian Holidays,Christmas Eve,2017-12-24,2017-12-25
Canadian Holidays,Christmas,2017-12-25,2017-12-26
Canadian Holidays,New Year's Day,2018-01-01,2018-01-02
Canadian Holidays,Easter Sunday,2018-04-01,2018-04-02
Canadian Holidays,St. Patrick's Day,2018-03-17,2018-03-18
Canadian Holidays,Groundhog Day,2019-02-02,2019-02-03
Canadian Holidays,Commonwealth Day,2019-03-11,2019-03-12
Canadian Holidays,Canada Day,2019-07-01,2019-07-02
Canadian Holidays,New Year's Day,2017-01-01,2017-01-02
Canadian Holidays,Groundhog Day,2018-02-02,2018-02-03
Canadian Holidays,Commonwealth Day,2018-03-12,2018-03-13
Canadian Holidays,Good Friday,2018-03-30,2018-03-31
Canadian Holidays,Anniversary of the Statute of Westminster,2018-12-11,2018-12-12
Canadian Holidays,Christmas Eve,2018-12-24,2018-12-25
Canadian Holidays,Commonwealth Day,2017-03-13,2017-03-14
Canadian Holidays,Easter Sunday,2017-04-16,2017-04-17
Canadian Holidays,Christmas,2018-12-25,2018-12-26
Canadian Holidays,New Year's Day,2019-01-01,2019-01-02
Canadian Holidays,Epiphany,2019-01-06,2019-01-07
Canadian Holidays,Christmas Eve,2019-12-24,2019-12-25
Canadian Holidays,Christmas,2019-12-25,2019-12-26
Canadian Holidays,Epiphany,2017-01-06,2017-01-07
Canadian Holidays,National Tartan Day,2018-04-06,2018-04-07
Canadian Holidays,Good Friday,2019-04-19,2019-04-20
Canadian Holidays,Halloween,2019-10-31,2019-11-01
Canadian Holidays,Anniversary of the Statute of Westminster,2019-12-11,2019-12-12
Canadian Holidays,New Year's Eve,2017-12-31,2018-01-01
Canadian Holidays,New Year's Eve,2019-12-31,2020-01-01
Canadian Holidays,Groundhog Day,2017-02-02,2017-02-03
Canadian Holidays,Valentine's Day,2017-02-14,2017-02-15
Canadian Holidays,Good Friday,2017-04-14,2017-04-15
Canadian Holidays,Canada Day,2017-07-01,2017-07-02
Canadian Holidays,Valentine's Day,2018-02-14,2018-02-15
Canadian Holidays,National Tartan Day,2019-04-06,2019-04-07
Canadian Holidays,National Tartan Day,2017-04-06,2017-04-07
Canadian Holidays,Vimy Ridge Day,2017-04-09,2017-04-10
Canadian Holidays,Canada Day - additional statutory holiday,2017-07-03,2017-07-04
Canadian Holidays,Halloween,2017-10-31,2017-11-01
Canadian Holidays,Halloween,2018-10-31,2018-11-01
Canadian Holidays,St. Patrick's Day,2019-03-17,2019-03-18
Canadian Holidays,Easter Sunday,2019-04-21,2019-04-22
Canadian Holidays,Daylight Saving Time starts,2017-03-12,2017-03-13
Canadian Holidays,Daylight Saving Time ends,2017-11-05,2017-11-06
Canadian Holidays,Daylight Saving Time starts,2018-03-11,2018-03-12
Canadian Holidays,Daylight Saving Time ends,2018-11-04,2018-11-05
Canadian Holidays,Daylight Saving Time starts,2019-03-10,2019-03-11
Canadian Holidays,Daylight Saving Time ends,2019-11-03,2019-11-04
Canadian Holidays,Louis Riel Day (Manitoba),2017-02-20,2017-02-21
Canadian Holidays,St. Patrick's Day (Newfoundland and Labrador),2017-03-20,2017-03-21
Canadian Holidays,National Patriots' Day (Quebec),2017-05-22,2017-05-23
Canadian Holidays,Discovery Day (Newfoundland and Labrador),2017-06-26,2017-06-27
Canadian Holidays,Nunavut Day observed (Nunavut),2017-07-10,2017-07-11
Canadian Holidays,Day After New Year’s Day (Quebec),2019-01-02,2019-01-03
Canadian Holidays,Islander Day (Prince Edward Island),2019-02-18,2019-02-19
Canadian Holidays,Nova Scotia Heritage Day (Nova Scotia),2019-02-18,2019-02-19
Canadian Holidays,St. George's Day (Newfoundland and Labrador),2019-04-22,2019-04-23
Canadian Holidays,New Brunswick Day (New Brunswick),2019-08-05,2019-08-06
Canadian Holidays,British Columbia Day (British Columbia),2019-08-05,2019-08-06
Canadian Holidays,Thanksgiving Day (regional holiday),2019-10-14,2019-10-15
Canadian Holidays,Orangemen's Day (Newfoundland and Labrador),2017-07-10,2017-07-11
Canadian Holidays,Thanksgiving Day (regional holiday),2017-10-09,2017-10-10
Canadian Holidays,Boxing Day (regional holiday),2017-12-26,2017-12-27
Canadian Holidays,Day After New Year’s Day (Quebec),2018-01-02,2018-01-03
Canadian Holidays,Islander Day (Prince Edward Island),2018-02-19,2018-02-20
Canadian Holidays,Louis Riel Day (Manitoba),2018-02-19,2018-02-20
Canadian Holidays,Gold Cup Parade (Prince Edward Island),2018-08-17,2018-08-18
Canadian Holidays,National Patriots' Day (Quebec),2019-05-20,2019-05-21
Canadian Holidays,Discovery Day (Yukon),2019-08-19,2019-08-20
Canadian Holidays,Family Day (regional holiday),2017-02-20,2017-02-21
Canadian Holidays,Victoria Day (regional holiday),2017-05-22,2017-05-23
Canadian Holidays,British Columbia Day (British Columbia),2017-08-07,2017-08-08
Canadian Holidays,Discovery Day (Yukon),2017-08-21,2017-08-22
Canadian Holidays,St. Patrick's Day (Newfoundland and Labrador),2018-03-19,2018-03-20
Canadian Holidays,New Brunswick Day (New Brunswick),2018-08-06,2018-08-07
Canadian Holidays,British Columbia Day (British Columbia),2018-08-06,2018-08-07
Canadian Holidays,Labour Day (regional holiday),2019-09-02,2019-09-03
Canadian Holidays,Boxing Day (regional holiday),2019-12-26,2019-12-27
Canadian Holidays,Islander Day (Prince Edward Island),2017-02-20,2017-02-21
Canadian Holidays,Nova Scotia Heritage Day (Nova Scotia),2017-02-20,2017-02-21
Canadian Holidays,St. Jean Baptiste Day (Quebec),2017-06-24,2017-06-25
Canadian Holidays,St. Jean Baptiste Day (Quebec),2018-06-24,2018-06-25
Canadian Holidays,St. Jean Baptiste Day observed (Quebec),2018-06-25,2018-06-26
Canadian Holidays,Discovery Day (Yukon),2018-08-20,2018-08-21
Canadian Holidays,Louis Riel Day (Manitoba),2019-02-18,2019-02-19
Canadian Holidays,St. Patrick's Day (Newfoundland and Labrador),2019-03-18,2019-03-19
Canadian Holidays,St. Jean Baptiste Day (Quebec),2019-06-24,2019-06-25
Canadian Holidays,Day After New Year’s Day (Quebec),2017-01-02,2017-01-03
Canadian Holidays,St. George's Day (Newfoundland and Labrador),2017-04-24,2017-04-25
Canadian Holidays,New Brunswick Day (New Brunswick),2017-08-07,2017-08-08
Canadian Holidays,Gold Cup Parade (Prince Edward Island),2017-08-18,2017-08-19
Canadian Holidays,Labour Day (regional holiday),2017-09-04,2017-09-05
Canadian Holidays,Nova Scotia Heritage Day (Nova Scotia),2018-02-19,2018-02-20
Canadian Holidays,Nunavut Day (Nunavut),2018-07-09,2018-07-10
Canadian Holidays,Labour Day (regional holiday),2018-09-03,2018-09-04
Canadian Holidays,Boxing Day (regional holiday),2018-12-26,2018-12-27
Canadian Holidays,Victoria Day (regional holiday),2019-05-20,2019-05-21
Canadian Holidays,Discovery Day (Newfoundland and Labrador),2019-06-24,2019-06-25
Canadian Holidays,Nunavut Day (Nunavut),2019-07-09,2019-07-10
Canadian Holidays,Gold Cup Parade (Prince Edward Island),2019-08-16,2019-08-17
Canadian Holidays,Nunavut Day (Nunavut),2017-07-09,2017-07-10
Canadian Holidays,St. George's Day (Newfoundland and Labrador),2018-04-23,2018-04-24
Canadian Holidays,Victoria Day (regional holiday),2018-05-21,2018-05-22
Canadian Holidays,National Patriots' Day (Quebec),2018-05-21,2018-05-22
Canadian Holidays,Discovery Day (Newfoundland and Labrador),2018-06-25,2018-06-26
Canadian Holidays,Orangemen's Day (Newfoundland and Labrador),2018-07-09,2018-07-10
Canadian Holidays,Thanksgiving Day (regional holiday),2018-10-08,2018-10-09
Canadian Holidays,Orangemen's Day (Newfoundland and Labrador),2019-07-15,2019-07-16
Canadian Holidays,Terry Fox Day (Manitoba),2017-08-07,2017-08-08
Canadian Holidays,Terry Fox Day (Manitoba),2018-08-06,2018-08-07
Canadian Holidays,Terry Fox Day (Manitoba),2019-08-05,2019-08-06
Canadian Holidays,New Year's Day observed,2017-01-02,2017-01-03
Canadian Holidays,Easter Monday (regional holiday),2018-04-02,2018-04-03
Canadian Holidays,Civic/Provincial Day (regional holiday),2017-08-07,2017-08-08
Canadian Holidays,Natal Day (Nova Scotia),2017-08-07,2017-08-08
Canadian Holidays,Civic/Provincial Day (regional holiday),2018-08-06,2018-08-07
Canadian Holidays,Natal Day (Nova Scotia),2018-08-06,2018-08-07
Canadian Holidays,Civic/Provincial Day (regional holiday),2019-08-05,2019-08-06
Canadian Holidays,Natal Day (Nova Scotia),2019-08-05,2019-08-06
Canadian Holidays,The Royal St John's Regatta (Regatta Day) (Newfoundland and Labrador),2017-08-02,2017-08-03
Canadian Holidays,The Royal St John's Regatta (Regatta Day) (Newfoundland and Labrador),2018-08-01,2018-08-02
Canadian Holidays,The Royal St John's Regatta (Regatta Day) (Newfoundland and Labrador),2019-08-07,2019-08-08
Canadian Holidays,Healthcare Aide Day (regional holiday),2018-10-18,2018-10-19
Canadian Holidays,Yukon Heritage Day (Yukon),2019-02-22,2019-02-23
Canadian Holidays,Yukon Heritage Day (Yukon),2017-02-24,2017-02-25
Canadian Holidays,Healthcare Aide Day (regional holiday),2017-10-18,2017-10-19
Canadian Holidays,Healthcare Aide Day (regional holiday),2019-10-18,2019-10-19
Canadian Holidays,Yukon Heritage Day (Yukon),2018-02-23,2018-02-24
Canadian Holidays,Family Day (British Columbia),2017-02-13,2017-02-14
Canadian Holidays,Family Day (British Columbia),2018-02-12,2018-02-13
Canadian Holidays,Family Day (regional holiday),2018-02-19,2018-02-20
Canadian Holidays,Family Day (British Columbia),2019-02-11,2019-02-12
Canadian Holidays,Family Day (regional holiday),2019-02-18,2019-02-19
Canadian Holidays,Remembrance Day (regional holiday),2019-11-11,2019-11-12
Canadian Holidays,Heritage Day in Alberta (Alberta),2017-08-07,2017-08-08
Canadian Holidays,Heritage Day in Alberta (Alberta),2018-08-06,2018-08-07
Canadian Holidays,Heritage Day in Alberta (Alberta),2019-08-05,2019-08-06
Canadian Holidays,Easter Monday (regional holiday),2017-04-17,2017-04-18
Canadian Holidays,National Aboriginal Day (regional holiday),2017-06-21,2017-06-22
Canadian Holidays,Remembrance Day (regional holiday),2017-11-11,2017-11-12
Canadian Holidays,National Aboriginal Day (regional holiday),2018-06-21,2018-06-22
Canadian Holidays,Remembrance Day (regional holiday),2018-11-11,2018-11-12
Canadian Holidays,Remembrance Day observed (regional holiday),2018-11-12,2018-11-13
Canadian Holidays,Easter Monday (regional holiday),2019-04-22,2019-04-23
Canadian Holidays,National Aboriginal Day (regional holiday),2019-06-21,2019-06-22
China Holidays,Arbor Day,2017-03-12,2017-03-13
China Holidays,Children's Day,2017-06-01,2017-06-02
China Holidays,Teachers' Day,2017-09-10,2017-09-11
China Holidays,National Day Golden Week holiday,2017-10-02,2017-10-03
China Holidays,National Day Golden Week holiday,2018-10-02,2018-10-03
China Holidays,Children's Day,2019-06-01,2019-06-02
