Interest,Category,Datamuse Nouns,Datamuse Verbs,Datamuse Adjectives,ConceptNet Nouns,ConceptNet Verbs,ConceptNet Adjectives
product strategy,product management,"strategies,branding,customer,brand,pricing,plan,policy,development,objectives,approach,implementation,design,innovation,client,concept,differentiation,consumer,system,model,process,prevention,logistics,structure,focus,licensing,framework,supplier,tactics,combination,initiative,division,advertising,objective,program,key,tool,divestiture,containment,user,aversion therapy,evolution,rationale,channel,bacitracin,cresol,cycle,lifestyle,curriculum,nash equilibrium,label,tenet,guidance,stratagem,communication,general,commodity,tactic,creation,deliverable,cost,gambit,modus,deal,doctrine,semantics,document,franchising,hedge,scheme,strategist,package,organization,cannibalization,aspect,composition,smart,specification,actions,kanban,app,arbitrage,template,campaign,firmware,safety,prototype,upgrade,conception,masterstroke,channels,brochure,category,schema,trades,strategics,geostrategy,documentation,upgrading,setup,diet","develop,diversify,focus,licensing,label,augment,deal,franchising,devise,create,strategize,upgrade,upgrading,build,concentrate,aim,cannibalize,measure,blend,move,debug,shift,aiming,churn,demonstrate,moves,advertise,insure,underwrite,care,bring,combine,huddle,nurture,revivify,cure,rase,appoint,distancing,keying,brew,upgraded,downsize,detoxify,form,milking,hampering,bunt,hamper,hampered,wash,channelling,call,cross,attack,bet,upload,wrinkle,damping,download,sabotage,covers,clone,display,manoeuvre,blitzkrieg,pigeonhole,skip,act,cripple,uploading,cast,convert,trace,expend,futz,take,hustling,camouflage,cut,dip,come,clean house,cook,barter,burn,circumvent,supplant,hustle,inked,mean,mooting,bear,steal,cover,hack,splits,picketing,digest,boot","strategic,branded,objective,key,biologic,strategical,consumable,formulated,reactive,general,deliverable,modus,additive,visionary,franchising,direct,smart,designed,coherent,beta,podcast,net,supplemental,augmented,radical,characteristic,basic,distributive,domestic,lateral,lucrative,persistent,rearing,ripe,compact,all,directing,cross,conjugate,betting,bifocal,durable,dilatory,tight,camouflaged,winning,differential,devious,optic,splitting,ended,bootleg,aphrodisiac,close,inked,ceramic,mean,chimerical,contrived,dummy,cured,acid,alar,artificial,crunchy,moot,raiding,jumbled,reciprocal,caring,defunct,corned,damp,brisk,damped,chopped,sealed,trapped,atlantean,alloxan,cyanuric,dichromic,free-living,grep,ntfs,oviparous,self-contained,theanine,suicidal,choked,dated,maximin,probing,antique,afta",,,
health,wellness,"wellness,heath,nutrition,healthcare,wellbeing,fitness,dental,medical,dietetic,dieticians,unwellness,education,obesity,cardiovascular,occupational,hygiene,healthfulness,diabetes,lifestyle,care,immunization,chiropractic,dietitian,healthiness,gerontology,insurance,welfare,illnesses,nutritionist,prevention,behavioral,dietetics,hmos,checkups,hias,pharmacy,vaccinations,nursing,spa,epidemiology,recreation,physicians,sickness,physician,breastfeeding,disease,audiology,diet,preparedness,maternal,safety,medicare,workplaces,perinatal,cholesterol,geriatrics,sanitation,maternity,ayurveda,caregiving,aromatherapy,benefits,pediatrics,stomatology,gynecologic,caregivers,predy,spirituality,eduction,illness,clinics,sanitarian,insurability,disability,wholeness,environmental,social,diseases,childcare,surance,respiratory,pharmacists,nurses,sicknesses,cleanliness,medicine,patient,hmo,obstetrics,longevity,checkup,infertility,dieting,veterinary,medicaid,asthma,hospitals,cardio,smoking,chlamydia","care,nursing,caregiving,smoking,services,exercise,phys,caring,promote,improving,enhancing,aging,promoting,nursed,promotes,improve,safeguarding,insure,enhance,risk,benefit,neglect,monitoring,value,drink,drinking,deteriorating,clean,affects,cure,waste,affecting,preserving,monitor,foster,contributes,protecting,improved,maintaining,feel,retire,contribute,safeguard,harm,effects,coping,regaining,improves,optimize,affect,assess,protect,endangering,claims,retired,ensuring,pertaining,convalesce,jeopardizing,fit,psychol,impact,concerned,inquire,enquire,ensure,endanger,guide,assessing,enjoy,maintain,declining,compromised,decaying,deteriorated,preserve,worry,worsened,regained,endangers,worsening,failing,heal,protects,pose,undermines,restoring,impairs,regain,jeopardize,undermine,contributing,feels,examine,impaired,worried,deteriorates,sacrifice,deteriorate,compromise","wellness,nutritional,preventative,dental,preventive,healthier,cardiovascular,occupational,holistic,healthful,healthy,reproductive,wholistic,promotive,maternal,periodontal,environmental,clinical,sick,hygienic,sanitary,unhealthy,physical,gynecological,human,therapeutic,public,conscious,mental,curative,frail,psychological,wholesome,oral,animal,bodily,adolescent,radiological,forest,ill,livestock,overall,child,convalescent,harmful,genetic,beneficial,ailing,fat,ancillary,infant,injurious,infirm,aboriginal,clean,optimal,emotional,optimum,self,good,improved,all,flavonoid,poorer,allied,better,psychic,udder,fitter,poor,vigorous,radiant,vibrant,constitutional,deleterious,insanitary,unimpaired,gymnastic,indigenous,alterative,gingival,impaired,harmless,healed,fair,fatigued,cured,fine,weakened,fragile,inimical,excellent,perceived,world,hydro,rude,buxom,precarious,robust,bad","being,well,fountain of youth,good,well being,condition,body,exercise,doctor,Mental health,condition,wellbeing,wellness,healthspan,heal,whole,healthification,healthify,unhealth,condition of the body","eating vegetables,maintaining muscle strength,a mineral,riding a bicycle,cleaning your clothes,doing some exercises,eating an apple,getting exercise,jogging,running in a marathon,becoming more clean,buying fresh fruits and vegetables,buying presents for others,checking vital signs,cleaning your room,cooking a meal,eating in a fast food restaurant,Exercising,feeding your family,getting clean,getting fit,getting in shape,getting some physical activity,a glass of milk,going for a run,going for a walk,growing vegetables,a hair care article,having food,everyone,hiking,keeping things orderly and tidy,laughing at a joke,losing weight,playing sport,running a marathon,sleeping at night,taking a shower,taking a walk,talking to someone,vitamin C,walking,washing dirt from between your toes,eating vegetables,cleaning,eating healthily,making sure you re healthy,washing your hands,acquired by avoiding bad foods,acquired by eating good food,damaged by eating bad food","good,important,very important to maintaining happiness"
scrittura,scrittura,,,,,,
skin,skin,"epidermis,cuticles,hair,pigmentation,blackhead,underarms,melasma,dermis,moisturise,redness,hyperpigmentation,complexions,gums,cornea,seborrhea,moisturizing,discolorations,acne,astringents,glycolic,collagen,pimples,keratosis,toenails,striae,hypopigmentation,undercoat,eyelashes,vernix,folliculitis,keloid,foreskin,cheeks,scalp,sunburn,gingiva,petrolatum,creams,moisturizer,dentine,wrinkles,derma,creaseless,cellulite,humectants,verruca,sclera,lotion,retina,glans,tissue,comedones,armpits,emollients,dermabrasion,callouses,puffiness,dermal,pigment,bronzer,keratin,thighs,eyelids,periorbital,tummy,rind,leukoplakia,serums,fontanelle,uvea,relaxer,bleaches,weals,windburn,exfoliant,vagina,wrinkling,vulva,dermatologist,depilatory,telangiectasia,chancre,zits,calluses,pterygium,pores,itchiness,varnish,exfoliation,exudates,papilloma,conjunctiva,skincare,discoloration,anus,microdermabrasion,forehead,bone,teeth,breasts","abraded,reddened,tanned,abrade,wrinkled,rubbed,peel,mottled,peeling,piercing,burns,rub,rubbing,stain,sutured,itching,shaved,peeled,thickening,cleansing,massaged,brushing,tingled,grafting,penetrates,blistered,wears,scratched,wash,stained,healed,grafted,heal,thickened,dry,tear,implanted,protruding,burn,bleeding,glowed,pricked,irritate,stroking,smell,dries,drying,puncture,thinning,scratch,flaps,exposed,grained,irritated,flushed,caressing,flushing,touch,glistening,soaked,breathe,blackened,caressed,inflamed,swelling,irritating,soothe,irritates,aging,cool,burning,injected,clothed,penetrating,swollen,overlying,pinched,cleansed,cleanse,excised,shedding,soften,causes,brushed,exposing,scrape,burnt,pinching,pierced,darkening,pricking,incised,scratching,glowing,burned,touching,strip,scraped,sewn,shone","facial,pigmented,dermal,periorbital,edematous,waxy,blotchy,tan,abraded,untanned,vulval,wrinkly,dermatological,erythematous,scaly,mucous,itchy,sunburned,cutaneous,genital,reddened,psoriatic,puffy,hairless,tanned,pasty,wheal,chapped,cyanotic,leathery,atrophic,reddish,yellowish,perineal,wrinkled,perianal,ulcerated,paler,discolored,vulvar,pallor,bluish,exterior,whitish,palmar,sunburnt,mottled,chamois,axillary,pinkish,warty,necrotic,rubbery,penile,lustrous,diseased,moist,sallow,satiny,grayish,brownish,brown,creamy,puckered,abdominal,pupal,papery,scrotal,pale,clammy,oily,translucent,supple,milky,thicker,thinner,flabby,pearly,atopic,calloused,ridged,roughened,respiratory,bronzed,pliable,greasy,crispy,coppery,sweaty,pink,jaundiced,velvety,anesthetic,flaky,whiter,silky,anal,ashen,vestibular,hairy","mole,wool,pore,wound,hide,cut,apple,body,touch,cream,peel,scale,burn,body,sunburn,lotion,buff,cuticle,dewlap,hangnail,investment,prepuce,skin graft,animation,bag,body covering,connective tissue,surface,thick skin,waterskin,wineskin,animal skin,goose skin,scalp,banana skin,breathable,buckskin,calfskin,deerskin,doeskin,goatskin,goose skin,an important organ,lambskin,loinskin,moleskin,a part of a mammal,pigskin,sealskin,sharkskin,sheepskin,snakeskin,waterskin,wineskin,skin injured,body part,external anatomical part,layer,object surface,tactile sensor,vibration sensor,skin on cervical,skin on face,skin on fingertip,skin on hand,skin on head,blackhead,dermis,epidermis,freckle,free nerve ending,liver spot,macule,Pacinian corpuscle,pore,pressure point,scab,skin cell,aircraft,integumentary system,sweat gland,whitehead,wrinkle,A pore,your body,Tissue,an apple,Onions,An avocado,Humans,people,cutis,hide,pare,peel,pelt,skinhead,baldhead,dermis,hide,peel,peel,skinhead,bark,clamber,stub,tegument,enskin,e skin,nonskin,skinable,skin cancer,beetleskin,buckskin,buffalo skin,clearskin,coonskin,drumskin,fawnskin,foxskin,goatskin,greenskin,lambskin,leopardskin,lionskin,moleskin,oilskin,onionskin,rabbitskin,sealskin,silverskin,skinbow,skinflick,skinfold,skinsuit,skintag,skintight,skin worm,thickskin,tigerskin,turnskin,waterskin,woolskin,skin cream,skinless,skin rash,largest organ of the human body,Humans outer layer of flesh,body's first protection against disease,largest organ","covering the body,protecting the body,cream,adding structural integrity,adjusting body temperature,Allowing perspiration,body temperature regulation,controlling body temperature,covering your bones,creating form,expire,get over emotional bumps,getting rid of toxins,getting tan,getting vitamin e from the sun,grow hair,hold in blood,holding in blood,holding in flesh,keeping your guts in,make grafts to treat burn victums,protect against the elements,protect against the world,protectin,protecting internal organs,protect your insides,protect muscle from damage,removing unwanted things from body,repairing burns,sensing location of things,sensing pain,sensing pressure,sensing temperature,sensing texture,shedding dead cells,spacing hair,staying warm,test pressure,test temperature,feel clammy,feel cold,feel exciting to the touch,feel heat,feel pain,feel painful,feel pressure,feel smooth,feel stretched,feel tender,feel that texture,itches,vary in colour,flay,peel off,strip,burned",elastic
college life,Education,"education,schooling,school,academic,university,diploma,tuition,colleges,undergraduate,graduation,liberal arts,curriculum,student,students,profession,graduate,vocation,seminary,career,academics,tutoring,scholarship,semester,health,educator,society,algebra,universities,tutor,science,arts,adolescence,matriculate,institution,academy,living,math,campus,dropout,marriage,associate degree,polytechnic,bachelor,psychology,enrollment,faculty,biology,prep,grad,coaching,politics,lyceum,dorm,bursary,culture,social,advancement,medical,rustication,family,age,academia,religion,degree,rotc,literature,job,adult,endowment,dean,institute,dormitory,junior,physical education,rudiment,freshman,teens,housing,abstinence,provost,father,perfectibility,anthropology,reform,sports,course,specialization,citizenship,practicum,schooltime,convocation,oxbridge,schooldays,sacrifice,class,biochemistry,state,puberty,contentment,academical","tutoring,matriculate,rusticate,sacrifice,work,finance,vegetate,advocate,mortify,associate,nourish,die,get,adventuring,save,own,ragging,influence,addressing,prepare,borrow,see,endow,fall,dance,develop,accept,address,affect,honor,retreat,inform,sing,abridge,turn,leave,surrender,pledging,guide,face,choke,resurrect,preparing,wear,compromise,awaking,passed,expel,pass,plead,degenerate,swing,awake,bum,act,burn,exercise,rise,come up,form,regenerate,break,domesticate,decline,animate,accredit,surrendering,try,remind,move,draw,compromised,call,wake,credited,descant,hide,catch,remain,doctoring,sue,advance,found,skinning,cheer,enter,moves,carry,vegetated,convert,go down,set,rushes,stepping,reanimate,rush,accelerate,adjudge,reminding,adjourn","academic,educational,collegiate,extracurricular,professional,young,social,medical,elective,adult,junior,freshman,reproductive,academical,intellectual,personal,teen,bookish,greek,real,human,sessional,middle,all,pregnant,private,tutorial,nourished,liveable,liberal,mortal,vitalizing,senior,high,emeritus,vital,major,english,accepted,christian,accredited,socal,communitarian,saved,necessary,collegial,happy,civilian,old,endowed,outward,ranking,minor,accepting,twenty,compromising,through,shaped,right,totalitarian,jaded,degenerate,nineteen,choked,half,mute,turned,stoic,oppidan,incapable,prime,quinquennial,inanimate,pledged,active,shaping,parietal,afflicted,pelagic,organic,able,anaerobic,dead,full,requisite,guiding,arcadian,ranked,domestic,accessory,acid,accelerated,adjective,adherent,lusty,biennial,lethal,subliminal,seeking,common",,,
poor peoples campaign,movement,"impoverishment,struggle,crusade,crusades,poverty,people,colonialism,misrule,reformism,consumerism,social,war,reform,youth,jihad,neocolonialism,welfare,rally,persecution,famine,destruction,harmony,ghetto,populations,distorting,oligarchy,aggression,economy,folk,corruption,countries,charity,deterioration,demoniac,primitivism,despair,era,smear,detriment,race,denunciation,fight,gentrification,beggar,contumely,slum,mass,filth,fasting,means,deadness,stink,behavior,folly,air,banlieue,shantytown,flagellate,climate,backlash,attempt,exile,salvation,chasidim,sweatshop,affirmative action,basti,revival,griqua,extirpation,stumping,lot,congruity,categorical imperative,duplicity,lame,easting,desire,political correctness,kind,evil,mending,burkina faso,hottentot,arrogance,hell,fester,thing,resistance,sport,donor,homeless,need,mission,calamity,clubs,black,caring,buckler,cripple","impoverish,rally,distort,embitter,distorting,demonize,radicalize,abase,fight,foment,derange,stink,attempt,conspire,conduce,easting,reforming,fester,flourish,appeasing,conciliate,gentrify,need,complain,clean,deserve,think,cripple,caterwaul,bleed,deprive,massing,curse,discredit,care,bless,doing,attack,constrain,turn,creak,contribute,break,bend,support,discriminate,burnishing,mean,drains,afford,challenge,burnish,make,credited,bore,mend,gnawing,appease,throw,discourage,flee,dash,contrive,lean,falsified,draw,fleeing,expediting,encrust,gnaw,run,achieve,expose,fall,busting,gaining,falsify,congeal,flounder,slumping,suck,establish,behave,gain,curb,cheapen,drain,advance,diffuse,rip,exorcize,let,ghosting,swipe,deport,donate,burn,die,fix,pack","impoverished,feeble,social,distorted,terrible,weak,disastrous,corrupt,decent,politic,bad,unhealthy,beggarly,good,demoniac,horrible,invidious,corrupted,negative,feebleminded,unfortunate,calamitous,subtle,flagellate,flourishing,hard,inefficient,fractious,ill,clumsy,grievous,lame,injudicious,earthy,evil,great,ghastly,homeless,benevolent,sick,worse,wrong,condemning,nasty,deprecatory,clean,depressing,black,caring,fearful,wicked,low,soft,doomed,little,cumbrous,constraining,difficult,stubborn,flyblown,arduous,extreme,burnished,ancient,key,free,respectable,contrived,barbarian,ethical,early,whiteboy,mean,defective,easy,limp,crude,bended,egregious,checkered,shabby,fulsome,durable,astute,tacky,decrepit,fast,desired,famished,obnoxious,underserved,fair,awkward,lean,childlike,discouraged,elephantine,botched,rough,disgruntled",,,
customer engagement,marketing,"business,advertising,consumer,client,user,service,clientele,distribution,attendee,authentication,partnership,services,creativity,accountability,dealer,shopping,contacts,accessibility,ido,booking,agentry,satisfaction,employment,developing,warranty,dialogue,dieter,adherence,blogging,campaign,cooperation,liaison,booker,demand,consultant,acceptance,counterterrorist,layaway,brokerage,presence,accounting,behavior,custom,bargaining,leisure,betrothed,dedication,creditor,competition,broker,consultation,patient,courier,courting,contact,advancement,ambassador,associate,developer,discount,cahoot,asset,commissioning,director,fiance,trading,bailment,mission,renter,sponsor,core,devotion,apprenticeship,applicant,broking,casework,donor,support,enlistment,banker,citizen,boyfriend,shop,containment,detail,audition,undertaking,creation,backstage,synchromesh,dating,reservation,codependency,diligence,cosmetician,credit,line,axe,sale,bachelor","align,blogging,engage,demand,communicate,associate,sponsor,enlist,targeting,broking,support,alienate,demonstrate,hire,appraising,build,change,patronize,adopt,serve,drive,crimped,help,benefit,aiming,addressing,delegate,conversing,address,discharge,deal,touch,applying,match,convey,buy,pay,announce,applaud,converse,capture,coring,aim,crimping,keying,advance,returns,breaching,promise,can,call,crimp,double up,blackmail,allure,debrief,cooperate,availing,tap,abandoning,compete,apply,attribute,censor,bargain,doping,choose,divest,draw,devote,involve,crosscut,cussing,accrue,contribute,assure,consecrate,accustom,affect,snap,amuse,guarantee,credited,dips,assign,cut,boot,pledging,challenge,abandon,correspond,axing,charging,appraise,describe,dissuade,return,avow,appoint,depute","creative,diplomatic,developing,counterterrorist,layaway,betrothed,aggregated,broking,casual,backstage,audiophile,key,changing,diabetic,crimped,supporting,geared,depositary,conscious,accountable,criminal,conventional,appropriate,accessory,antimicrobial,assistant,auditory,anti,celibate,bottom,delinquent,counterrevolutionary,adherent,belligerent,bodily,civilian,becoming,downstage,applied,contango,tapped,best,causative,aggregate,complex,appositive,breathless,alcoholic,crowning,cold,combatant,accessible,active,dextral,bombastic,double,customary,dependent,cognate,busy,disinterested,awkward,attempted,centrifugal,apprenticed,supported,average,ablative,open,betraying,derivative,pledged,doctrinaire,citified,advancing,patronized,defective,bashful,returning,detached,accrued,consecrated,demanding,contagious,described,corroded,balding,close,characteristic,documented,amateur,touched,american,barbarian,blind,hot,assigned,charged,bald,detected",,,
coast guard,Military,"military,navy,coastguard,forces,admiral,marine,colonel,sea,shore,frigate,commander,brig,brigadier general,commandant,police,lighthouse,defense,convoy,seaman,jetty,ferry,port,captain,pier,cadet,force,officers,gunnery sergeant,master sergeant,corporal,uscg,cornerback,lifeguard,dictator,south,fort,seawall,peacekeeper,flank,harbor,sonar,cordon,detention,reb,flattop,point,ports,north,occupation,protectorate,breakwater,bay,reserve,lieutenant,mollusk,desert,patriot,consul,junta,foghorn,province,gangway,groyne,ensign,line,forest,republican,lieutenant jg,outrigger,minister,seaplane,bulwark,dolphin,ferrying,repulse,dock,crimea,bunker,bak,refugee,cruise,east,bridgehead,aristocracy,fielder,tackle,shield,halfback,refrain,west,points,backboard,bushwhacker,armor,quonset hut,goaltending,rescue,passport,deportation,patriotism","detain,disarm,anchored,repulse,deter,tackle,refrain,protect,defend,goaltending,rescue,arriving,shored,protecting,choke,prevent,overplay,buttress,alert,repel,refuse,arrest,rebuke,lie,cruising,fight,discourage,flinch,backcheck,move,pull,hamper,arrive,pardon,deny,knock,assert,stay,keep,retreat,hobble,restrain,revoke,come,stop,hold,lash,stand,arrived,hitchhiking,recuperate,impede,renege,catch,grabbing,lies,happened,prompt,constrain,defer,face,monitored,hemming,freeze,checking,happen,confine,hesitate,fishtail,deduct,roll,curb,cover,hug,monitors,rein,hacking,monitor,hinder,hide,protects,hang,argue,immigrate,deferring,pin,overreach,separate,repress,seem,contain,blink,get,jacked,gybe,remand,braking,decking,advance,jacking","military,naval,marine,paramilitary,defensive,onshore,diplomatic,corporal,south,political,north,republican,patriotic,east,west,returning,outside,alert,corrupt,pro,collateral,quarantined,reflexive,protected,confining,key,panicked,general,icebound,embarrassed,held,left,prompt,defending,conservative,incapable,gray,off,hindering,sonic,separated,repelling,buttressed,choked,capped,repressing,separate,deducted,free,ministering,careful,backward,henge,controlled,internal,concealing,retracted,depositional,restrained,flushed,scotch,avenged,gilt,executive,forsaken,prime,backstairs,corrupted,clear,rearward,overreaching,long,chill,parotid,flush,repressed,drilled,deferred,discriminating,reclaimed,constraining,advancing,reserved,postponed,reverse,easy,damp,fiscal,cleared,blind,averse,audible,offside,listless,dexter,obstructed,cheap,charitable,bearish,received","emergency services,military,military branch",board any vessel they wish,
Totaled Car,Selling Wrecked Cars,"vehicle,wreck,smashing,sedan,junker,oldsmobile,hit,total,sale,motor,pickup,rental,skidding,vintage,ruining,lexus,ruin,drive,haul,running,ruins,road,stalls,shop,auction,van,bingle,lots,lap,crash,run,overturning,tops,runabout,tire,parts,gutting,smash,stop,leaving,curb,trunk,jacking,marque,mileage,money,trabant,burying,dozen,pole,property,lot,counting,hearse,jump,rent,rack,stock,stall,finish,exhaust,trunks,toy,start,market,one,corpses,runs,ferry,knock,fancy,charring,import,gas,burn,volume,fortune,rise,crawling,dash,accounting,eleven,spur,skid,profits,starting,cut,climb,pottery,estimate,roadkill,sending,loading,monster,antifreeze,point system,drop,loss,bailment,trapping","wreck,crashed,hit,gutted,totalled,skidding,ruin,drive,haul,jacked,went,started,run,overturning,gutting,smash,stop,curb,jacking,abandoning,lose,slamming,jump,rent,stall,finish,exhaust,start,owe,get,runs,flagged,knock,disappear,fancy,charring,import,burn,pick,rise,dash,spur,placing,abandon,cut,climb,estimate,charging,drop,stemming,ride,have,sideswipe,checking,starts,come,turn,crawl,downsize,pelt,perk,crush,wipe,near,adulterate,like,mummified,overturn,slam,make,out,accelerate,bump,travel,dreamed,loses,gonna,jumpstart,sprout,vanish,hire,think,bounce,result,push,honk,blow,retrofit,griping,drown,plunk,rises,lift,dusting,stem,flip,quit,scoop,skipping,goes","wrecked,ruined,smashed,smashing,stopped,total,crushed,gutted,rental,scorched,overturned,powered,last,staggering,flat,dashed,turned,straight,trapped,owed,choked,one,flagged,stocked,fancy,used,depressed,eleven,starting,posted,double,left,sprouted,third,pinched,mechanical,stemmed,fooling,near,late,drowned,like,touched,mummified,out,new,gonna,hot,foreign,through,potted,remaining,first,reversed,flip,attainable,nice,liked,low,troubled,placed,rested,unreachable,parted,aggregate,heaped,accessory,fast,plugged,secure,safe,inanimate,aggregated,reverse,charged,honest,seventy,cold,firm,incapable,open,fractured,hard,precipitate,local,absolute,accepted,grand,troubling,alpine,quasi,above,babylonian,sectioned,revered,cadaveric,toasted,comprehensive,tiring,characteristic",,,
inclusive startup,startup,"inclusiveness,business,integration,implementation,aggregator,growth,angel,beta,launch,application,airline,adoption,start,accommodation,preproduction,maturation,advance,initiation,accessibility,delivery,installation,participation,acceptance,infancy,adjustment,absorption coefficient,access,aggregation,acquisitions,adult,integral,institute,bantu,accrual,rent,subset,acadia,accession,aeolis,scratch,package,taxonomy,group,advocacy,stock,agreement,agnosticism,beginning,affirmative action,address,acceleration,acropolis,accretion,agenda,ipo,monism,agave,abstract,society,admission,adm,advection,catholicity,agreements,germ,adulthood,payback,renting,commencement,accord,aec,phase,accounting,upgrade,formatting,premier,bud,penny,kernel,ramadan,commissioning,aeon,afterthought,aalto,agora,understanding,premise,ahimsa,agrarianism,pandemic,cleanup,acorn,operation,academic year,abstraction,sanskrit,advent,opening,quaternary,ovum","launch,aggregating,actualize,start,achieving,initialize,accomplish,accelerate,advance,develop,achieve,open,download,includes,germinate,rent,scratch,accommodate,deliver,address,initiate,commence,subsume,introduce,agglomerate,begin,accord,upgrade,premised,abjure,aerate,sophisticate,add,abbreviate,initiated,achieved,advocate,accessed,inaugurate,complete,adjust,redo,adapt,splash,reset,abandoning,absorb,abase,abandon,agitate,introduced,hinder,adding,adjourn,aim,began,agrees,resume,agree,zero,extend,abate,stutter,break,concentrate,abolish,boot,adduce,abort,poach,adjourned,plunge,accumulate,aiming,balk,widen,alert,aad,present,accompany,adulate,amd,abound,admit,thrash,cranking,cast,hate,abscond,raping,broadcast,burst,adore,absconding,broach,plunging,abominate,adjoin,act,afore","affordable,accessible,aggregative,agnostic,beta,achievable,embracive,holistic,accommodating,adaptive,introductory,comprehensive,initial,aggregated,supportive,adventurous,open,global,agreeable,airy,accommodative,additional,sophisticated,addressable,adult,integral,broader,exhaustive,bantu,adventuresome,achromatic,accurate,acceptable,active,exclusive,applicable,full,through,all,adjusted,thorough,broad,abstract,accomplished,original,actual,larger,spacious,uncaused,accountable,premier,adequate,wider,affable,pandemic,affluent,quaternary,above,broadest,accordant,acinar,akin,aggregate,grand,complete,widest,first,proper,adolescent,agglomerated,unselective,agrarian,extensive,abundant,entire,public,adopted,scattershot,lunar,ahistorical,abridged,catholic,panoptic,overhead,bivalve,hindering,ready,random,accepted,aboriginal,advisable,cyclic,wide,greater,absorbed,affirmative,zero,tele,eternal,ane",,,
php development,Web development,"developing,implementation,creation,developer,expansion,marketing,commercialization,infrastructure,advancement,developments,design,construction,growth,management,innovation,initiatives,integration,http,dev,html,evolution,exploitation,expansions,enterprise,financing,business,leveraging,exploration,commerce,industrialization,enhancement,darwinism,democratization,future,finalization,community,arcology,adoption,innovations,governance,network,meta,designing,discovery,entrepreneurship,infill,manufacturing,deployment,acquisition,licensing,browse,beta,formulation,improvements,framework,funding,completion,capabilities,fostering,concurrency,building,betterment,architecture,news,degradation,enterprises,execution,objectives,empowerment,establishment,artificial intelligence,initiative,delivery,businesses,convergence,noosphere,activities,competencies,biokinetics,esd,incubator,cultivation,mariculture,designs,maturation,acre,angiogenesis,forum,environment,industries,formation,installation,abiogenesis,industry,broadening,organogenesis,dialog,template,layout,managing","develop,develops,build,creating,enhancing,accelerate,create,licensing,browse,expand,enhance,evolve,innovating,establishing,invest,formulating,managing,formulate,achieving,incubate,nurture,establish,manage,manages,grow,cultivate,nesting,become,improve,finalize,advance,change,continue,define,becomes,initiate,foster,introduce,educate,feed,derive,introducing,conduct,help,move,gain,nested,mature,nuke,boost,extending,halt,address,mapped,outgrowing,nourish,outgrow,flourish,write,check,compile,aim,blossom,foment,influence,extend,open,delay,make,breed,differentiate,fertilize,outpace,determining,follow,elaborating,administering,outstrip,moves,civilize,germinate,mineralize,ferment,converge,delaying,drafted,checking,foresee,arrest,knotting,conserve,chuff,degenerate,offset,choreograph,abort,cruising,hatch,exercise,choke","developing,innovative,developmental,economic,integrated,developed,expanding,future,new,meta,designing,accelerating,beta,industrial,nascent,innovating,conceptual,developable,expanded,growing,enhanced,cultural,latest,improving,metastatic,evolutionary,advancing,chordate,morphogenetic,fully fledged,designed,flourishing,agricultural,hardcopy,downstream,becoming,modern,formative,differentiated,linear,administrative,changing,historical,neolithic,functional,advanced,cretaceous,constructive,fostered,alternative,objective,foster,hydroelectric,autonomous,moderne,north,mesolithic,longitudinal,encouraging,nested,important,organic,mature,continuing,novel,chromogenic,backward,derelict,improved,darwinian,archean,blighted,canadian,derived,open,het,genetical,single,immature,full,diachronic,occupational,fertile,formed,continued,cosmic,negative,contained,adolescent,epidemic,antinuclear,high,german,dormant,bric,brief,germinal,close,civilised,interior",,,
